item,url,note
THIRUVALLUR_DCHB,https://censusindia.gov.in/nada/index.php/catalog/free_search?search=THIRUVALLUR,search failed: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)>
CHENNAI_DCHB,https://censusindia.gov.in/nada/index.php/catalog/free_search?search=CHENNAI,search failed: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)>
KANCHEEPURAM_DCHB,https://censusindia.gov.in/nada/index.php/catalog/free_search?search=KANCHEEPURAM,search failed: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)>
VELLORE_DCHB,https://censusindia.gov.in/nada/index.php/catalog/free_search?search=VELLORE,search failed: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)>
THIRUVANNAMALAI_DCHB,https://censusindia.gov.in/nada/index.php/catalog/free_search?search=THIRUVANNAMALAI,search failed: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)>
VILUPPURAM_DCHB,https://censusindia.gov.in/nada/index.php/catalog/free_search?search=VILUPPURAM,search failed: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)>
SALEM_DCHB,https://censusindia.gov.in/nada/index.php/catalog/free_search?search=SALEM,search failed: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)>
NAMAKKAL_DCHB,https://censusindia.gov.in/nada/index.php/catalog/free_search?search=NAMAKKAL,search failed: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)>
DHARMAPURI_DCHB,https://censusindia.gov.in/nada/index.php/catalog/free_search?search=DHARMAPURI,search failed: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)>
KRISHNAGIRI_DCHB,https://censusindia.gov.in/nada/index.php/catalog/free_search?search=KRISHNAGIRI,search failed: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)>
COIMBATORE_DCHB,https://censusindia.gov.in/nada/index.php/catalog/free_search?search=COIMBATORE,search failed: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)>
TIRUPPUR_DCHB,https://censusindia.gov.in/nada/index.php/catalog/free_search?search=TIRUPPUR,search failed: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)>
ERODE_DCHB,https://censusindia.gov.in/nada/index.php/catalog/free_search?search=ERODE,search failed: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)>
THE NILGIRIS_DCHB,https://censusindia.gov.in/nada/index.php/catalog/free_search?search=THE NILGIRIS,search failed: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)>
DINDIGUL_DCHB,https://censusindia.gov.in/nada/index.php/catalog/free_search?search=DINDIGUL,search failed: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)>
KARUR_DCHB,https://censusindia.gov.in/nada/index.php/catalog/free_search?search=KARUR,search failed: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)>
TIRUCHIRAPPALLI_DCHB,https://censusindia.gov.in/nada/index.php/catalog/free_search?search=TIRUCHIRAPPALLI,search failed: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)>
